"unit_number","week","dt_hours","ma"
"HC11075","W33 - 23","0","100"
"HC11075","W32 - 23","0","100"
"HC11075","W31 - 23","0","100"
"HC11075","W30 - 23","0","100"
"HC11075","W29 - 23","0","100"
"HC11075","W28 - 23","0","100"
"HC11075","W27 - 23","0","100"
"HC11075","W26 - 23","0","100"
"HC11075","W25 - 23","0","100"
"HC11075","W24 - 23","0","100"
"HC11075","W23 - 23","0","100"
"HC11075","W22 - 23","0","100"
"HC11075","W21 - 23","0","100"
"HC11075","W20 - 23","0","100"
"HC11075","W19 - 23","0","100"
"HC11075","W18 - 23","0","100"
"HC11075","W17 - 23","0","100"
"HC11075","W16 - 23","0","100"
"HC11076","W53 - 23","0","100"
"HC11076","W52 - 23","88.09","47.56"
"HC11076","W51 - 23","0","100"
"HC11076","W49 - 23","0","100"
"HC11076","W48 - 23","0","100"
"HC11076","W47 - 23","0","100"
"HC11076","W46 - 23","0","100"
"HC11076","W45 - 23","0","100"
"HC11076","W44 - 23","11.38","93.23"
"HC11076","W43 - 23","1.42","99.15"
"HC11076","W42 - 23","0","100"
